173;ЛОлоло;44059172/ATM059172;114;-675
174;Аптеки;RBA ATM 13231;437;58
175;Компьтеры;OOO  ALBA KORPOREYSHN;984;67
176;Еще одна категория;VSE DO LAMPOCHKI;-888;-839
177;Еще одна категория;TOVARI DLYA DOMA;268;151
178;Еще одна категория;KATYUSHA;970;953
179;Аптеки;LUKOIL AZS 116;-399;879
180;Какая-то категория;MAZK BP MC304;-978;-111
181;Машины;BIGBILET              ;313;-522
182;Другая категория;KHOLIDEY NA POPOVA;-852;580
183;Какая-то категория;PRESTIZH;795;107
184;Компьтеры;PRODUKTI 24 CHASA  SHOP;-744;-386
185;Ололоо;MEGA B. D. NAYK;129;-841
186;Компьтеры;DNS                   ;344;633
187;Компьтеры;BERSHKA SNG 26;1;-646
188;Машины;SHELL AZS IKEA 1132;-873;590
189;ЛОлоло;UJUT;546;-959
190;Ололоо;MAGAZIN KUBIK RUBIK;781;986
191;Компьтеры;BIZNES-SALON;363;848
192;Итернет;TEPLYY STAN STATION;-957;-261
193;Еще одна категория;KAFE-BLINNAYA;-927;-756
194;Итернет;BRITISH PETROLEUM   ABRA;-186;-642
195;Машины;AUCHAN RUBLEVKA;-199;342
196;Итернет;ATM129 LENINSKI;-691;-635
197;ЛОлоло;SHELL AZS KULTURY 945;259;-319
198;Еще одна категория;PYATEROCHKA 5090;-411;-172
199;Еще одна категория;ZOLLA;-148;652
200;Итернет;76 00464271;42;608
201;Ололоо;VSE DLYA MOBILNYKH;-40;-437
202;Магазины;WWW.KINOHOD.RU;-127;870
203;Аптеки;ROSTOV-NA-DONU 4;121;-842
204;Другая категория;GETT;-625;-321
205;Компьтеры;ER-TC NIZHNIY NOVGOROD;77;988
206;Магазины;BANKOMAT 381324 690100;29;758
207;Еще одна категория;OOO PULSAR;-543;354
208;Итернет;KEHLSTEINHAUS;-141;-357
209;Итернет;VICTIRIYA-PROFSOYUZNAYA;-366;831
210;Другая категория;00000000000;746;-385
211;Аптеки;GOROD MASTEROV;-673;525
212;ЛОлоло;MCDONALDS 21008       ;-773;317
213;Компьтеры;REAL S.OPERATOR 10;916;53
214;Ололоо;KREM KHOLL;439;-239
215;Итернет;YUGO-ZAPADNAYA STATION;-909;-74
216;Какая-то категория;APTEKA LEKSA;-809;-170
217;ЛОлоло;BANKOMAT 830427 1569;-118;-839
218;ЛОлоло;DB BAHN  A-NR F1PNK1;-19;158
219;ЛОлоло;ALDEASA PALMA;-330;590
220;Аптеки;EVROSET;-646;547
221;Машины;BP ORZEL 262;668;-182
222;Итернет;MACY'S EAST #339;-54;-201
223;Итернет;Magazin Pivnoy bunker;-886;-137
224;Итернет;BANKOMAT 540300 6991;787;-992
225;ЛОлоло;MAGAZIN SOJUZ 3;426;-978
226;Компьтеры;ZNATNYY POVAR;907;-356
227;Еще одна категория;LENINSKIY 85 LE FUTUR;356;-44
228;Другая категория;MAKSAVIT;-695;-258
229;Какая-то категория;MAGAZIN;-363;16
230;Какая-то категория;BAR ALOHA             ;-587;-130
231;Аптеки;STARTMASTER DOLGOPRYD;364;588
232;Аптеки;YAKITORIYA - VERNADSKO;-892;-367
233;Магазины;N3918048, LENTA 75;-448;-655
234;Компьтеры;ALIE PARUSA;59;414
235;Компьтеры;POGREBOK FLINTA;-747;-384
236;Компьтеры;CHELONA  CAFE;-950;310
237;Итернет;PSCB*INTERNET;-947;-232
238;ЛОлоло;NASH KHOZ-YY-3;36;-771
239;Другая категория;AUCHAN MESHERSKOE OZERO;484;151
240;Еще одна категория;AZS 132;312;-696
241;Еще одна категория;SHEREMETEVO F.BAR;-151;-698
242;Магазины;BPA 173;-787;161
243;Итернет;IP SVIRIDOV K.A.;12;906
244;Какая-то категория;FREGAT FLAGMAN;-453;-341
245;ЛОлоло;IKEA EAST BAY         ;908;-847
246;Еще одна категория;TK VNUKOVO OUTLET;-831;550
247;Ололоо;CYKEL & MOPEDHANDLAREN;-596;974
248;Компьтеры;M.VIDEO NO399  1;-549;565
249;Машины;44049869/ATM049869;-162;-349
250;Машины;ROYAL TULIP ALMATY HOT;-860;-750
251;Магазины;MISHKA BAR;-971;-181
252;Магазины;OOO FLAY-SHUZ;102;-419
253;Итернет;IXORA                 ;827;599
254;Машины;SUPERMARKET SEMYA;96;696
255;Еще одна категория;YM     *YOTA;17;317
256;Аптеки;AZK 004 BP WILD BEAN CAF;-978;-594
257;Еще одна категория;SHELL NEFT MISTOLOVO;-470;-742
258;Другая категория;URALOCHKA;509;-61
259;ЛОлоло;NESTE-SPB AZS-351;-382;477
260;Компьтеры;SUBWAY                ;282;-133
261;Еще одна категория;AVTODOR-PS;89;919
262;Аптеки;WURTH MARKET  SHOP;-117;984
263;Какая-то категория;AZS-103 Agalatovo;-877;255
264;Ололоо;HEALTH CENTER SQ;303;264
265;Какая-то категория;01199281/ATM-01199281 URA;277;-285
266;Итернет;FRIENDS MODERN DINER;-613;-285
267;Итернет;PPOMSVYAZBANK/Zemlyachki;109;645
268;Компьтеры;PSCB*SOTOVAYA SVYAZ;-628;191
269;Какая-то категория;Bashmag-Timiryazevskaya;211;-493
270;Другая категория;LUKOIL AZS 427;714;-924
271;Ололоо;FLORANZH;-916;277
272;Машины;DEVICE;806;59
273;Еще одна категория;NTV-PLUS;-171;-134
274;ЛОлоло;PYATEROCHKA 2196;-533;-119
275;Другая категория;ALAN CLINIC;-538;80
276;Магазины;BERSHKA SNG 47;-23;748
277;Другая категория;STRADIVARIUS SNG 45;590;-151
278;Другая категория;M.VIDEO 438 1;968;8
279;Машины;Ave-1 Apteka N575;604;-107
280;Машины;POLO AYDYNLY 1;673;262
281;Еще одна категория;Bravoavia ru KRR SAW 2;-156;-913
282;Машины;MCDONALDS 25408       ;659;383
283;Другая категория;AZK ROSNEFT 35;36;802
284;Итернет;PITSTSERIYA           ;915;799
285;ЛОлоло;LOTUS;-294;-977
286;Магазины;AZS 3 NOVIKOVA-PRIBOJA;514;289
287;Другая категория;BERLIN DIE ALLEE SHOP;317;-505
288;ЛОлоло;RADUGA-2 VAVILON;820;780
289;Какая-то категория;MCDONALDS 24047       ;19;490
290;Машины;KOTOPES;571;144
291;Компьтеры;KROTEKS TK TVOY DOM;14;-974
292;Какая-то категория;KOFEMAGIA;632;275
293;Другая категория;Wutscher Optik;129;-768
294;Какая-то категория;SHOKO ARBAT 1;491;245
295;Еще одна категория;MINIMARKET DRUZHBA;-967;725
296;Другая категория;DIKSI  - 50050 KKM1;911;-709
297;Магазины;NIKOL-99;-95;-795
298;Компьтеры;STOCKMANN Z VAV;-820;-794
299;Аптеки;PYATEROCHKA 433;626;173
300;Ололоо;UNIVERSAM ZVEZDNYI;781;-896
301;Компьтеры;PYATEROCHKA 78 K2;399;47
302;ЛОлоло;AZS 265;635;-765
303;Итернет;SSP AB;261;866
304;Магазины;KARAOKE-KLUB ROY;403;528
305;Ололоо;WINE COLLECTION CO.,LT;-394;-377
306;Магазины;TAKKO FIL.4508;462;-770
307;Машины;TSENTRALNAYA APTEKA;299;85
308;ЛОлоло;5LB;-608;416
309;Машины;YUG-TABAK;154;721
310;Машины;MOS.GOSUSLUGI.RU;-581;871
311;Какая-то категория;MAGNIT U DOMA BIRYULEVO;664;-678
312;Итернет;PYATEROCHKA 3297;-514;297
313;Машины;LANCH-BAR             ;-881;-342
314;Магазины;BEER MARKET;761;-196
315;Какая-то категория;BANKOMAT CENTR MT;-532;71
316;ЛОлоло;PP *9199 EXPUSE;-699;625
317;Другая категория;APTEKA 39;468;-228
318;Какая-то категория;AZS-168 Volgo-Donskaya;-437;150
319;Другая категория;EVROSET MV04;393;-947
320;Машины;RODIONOVA, 187;56;-880
321;Ололоо;RADEZH-187 KASSA2;43;-948
322;Магазины;PYSHKA;-144;-35
323;Машины;PYATEROCHKA 1110;-481;-732
324;Какая-то категория;OOO ALM;-102;933
325;Какая-то категория;IKEA RESTAURANT 1;668;-379
326;Машины;SLAVTEK SIBIR;328;928
327;Другая категория;KOMFORT;-904;-487
328;Магазины;Studia 55;117;-674
329;Аптеки;LE BALKON;64;-27
330;Еще одна категория;KOFEYNYASHOKOLADNITSA3;621;758
331;Магазины;"Garson";702;-583
332;Машины;LUKOIL AZS 86624 URNP;-425;107
333;Еще одна категория;PEREKRESTOK BOROVSKOE;-509;-433
334;Еще одна категория;BAYARD,SHOP;383;444
335;Магазины;KHOZTOVARY;-412;273
336;Другая категория;BANKOMAT 420847 43540064;445;565
337;Ололоо;DOLYA ANGELOV;117;-419
338;Другая категория;OOO YABLOKO URAL;-50;-768
339;Еще одна категория;AZS IRBIS;54;370
340;Магазины;APTEKA N 24;812;-2
341;Машины;MAGAZIN TEPLIY STAN;373;696
342;ЛОлоло;TERVOLINA NOVOYAS;-375;984
343;Магазины;RIVER SERVICES;-775;-924
344;Другая категория;NINE WEST DYBENKO;970;-273
345;Магазины;BANKOMAT 396561 59390095;-33;-275
346;Ололоо;TMK;-476;-718
347;Еще одна категория;PYATEROCHKA 4680;389;59
348;ЛОлоло;GUTE FAHRT MIT AGIP   ;-401;-418
349;Еще одна категория;"FORMULASTORE";894;570
350;Магазины;BELYE KOLGOTKI  SHOP;-604;-385
351;Компьтеры;MCDONALDS 11004;-288;-880
352;Магазины;OOO ORANZHEVYY OSLIK;563;-521
353;Машины;OLIVIE  RESTAURANT;460;-645
354;Какая-то категория;ST. M. VASILEOSTROVSKA;823;286
355;Какая-то категория;SEVEN 502;150;582
356;Аптеки;Apteka 484;850;857
357;Аптеки;APTEKA N 11;-568;898
358;Еще одна категория;JIVOSITE              ;174;-115
359;Какая-то категория;ZOLOTAYA TABAKERKA;-171;70
360;ЛОлоло;PPOMSVYAZBANK/KHIMKI;-947;-74
361;Еще одна категория;SCOOZI;963;480
362;Еще одна категория;WWW.POSOSHOK.RU;968;899
363;ЛОлоло;VABI-SABI ALFA;-846;-28
364;Какая-то категория;BESSINI;731;570
365;Магазины;OOO "PARADIZ";-323;0
366;Аптеки;MONCAFE;657;980
367;Ололоо;MCDONALDS 11004       ;-835;289
368;Аптеки;RED DRAGON  RESTAURANT;-586;804
369;Итернет;PYATEROCHKA 1244;512;102
370;Аптеки;SUPERMARKET TABRIS 6-6;240;-858
371;Какая-то категория;ANIKS;-808;32
372;Магазины;APTEKA TABRIS;242;-818
373;Итернет;TINTO  COFFEE HOUSE;-599;-635
374;Магазины;Apteka 484;726;-108
375;ЛОлоло;AZS 84;122;386
376;Машины;MINB/Planernaya str.,d.7;658;168
377;Ололоо;01199023/ATM-01199023 URA;-248;-878
378;Итернет;PARTNER PLYUS;327;165
379;Компьтеры;MCDONALDS 21036       ;-582;383
380;Ололоо;FIX PRICE NO 691 KKM1;-630;441
381;Другая категория;DB BAHN  A-NR F1PNK1;-14;-689
382;Компьтеры;AZK ROSNEFT 27;96;815
383;Другая категория;OOO EL PUNTO;-358;457
384;Другая категория;SPORTDEPO OOO;449;-774
385;Машины;RADEZH-11 KASSA2;-134;981
386;Итернет;WWW.AM.RU;866;778
387;Ололоо;LADUSHKI OLADUSHKI;115;-2
388;Магазины;RADEZH-143 KASSA3;-839;258
389;Ололоо;DEVICE;87;772
390;Итернет;TERRITORIYA;-614;-519
391;Какая-то категория;MCDONALDS 25007;305;934
392;Какая-то категория;YOUNG AUSTRIA;763;476
393;Магазины;LUKOIL AZS 72311 URNP;812;-672
394;Другая категория;INVITRO;801;-524
395;Машины;AZS 3 NOVIKOVA-PRIBOJA;-615;-390
396;Компьтеры;SUCCESS;-749;-60
397;Итернет;DECATHLON SPB LETO 649;-79;352
398;Компьтеры;GZD, VOKZAL MOSKOVSKI;329;753
399;Итернет;Rozengrals-Restorans  ;-731;-425
400;Еще одна категория;LUXEXPRESS            ;-564;-472
401;Магазины;M.VIDEO #19 (11);-115;-976
402;Компьтеры;UFIMSKIE BANI;-640;373
403;Машины;OOO SIGMA;219;-460
404;Аптеки;OLIVIYAN3,N3714803;310;-6
405;Какая-то категория;LUKOIL AZS 08;925;-527
406;Аптеки;AZS 51;862;-53
407;Еще одна категория;TEREMOK BCLUB         ;-409;160
408;Ололоо;Mode moreau;-418;763
409;Магазины;NORDSTROM #0421;-909;546
410;Машины;Payoneer;648;-878
411;Еще одна категория;E2E4 BARNAUL;485;-336
412;Аптеки;GETT;-843;-676
413;Еще одна категория;CJ C005  PARNAS  RESTAUR;-233;296
414;Машины;concept club;432;545
415;ЛОлоло;LUKOIL AZS 02130 URNP;-642;-884
416;Какая-то категория;KHMB/ATM, MAGAZIN LABAZ;-354;155
417;Другая категория;MAGAZIN 1000 PRODUKTOV;277;-407
418;Итернет;LUXEXPRESS            ;227;248
419;Аптеки;ASHAN-ALTUFEVO;173;307
420;Магазины;ATM 472088;209;68
421;Какая-то категория;KAPUCHINO TOKYO;99;-725
422;Какая-то категория;PAYU RU AIRLINES;750;563
423;Машины;ZVEZDA MAGRIBA;-104;433
424;Компьтеры;OAK INTL  ARPRT;-469;502
425;Еще одна категория;O KEY 3;997;-593
426;Ололоо;LOTOS GAKKELEVSKAYA;597;-626
427;ЛОлоло;AIRBERLIN920BER7386453;-256;-547
428;Итернет;MAMAS AND PAPAS  SHOP;-878;666
429;Машины;MAZK BP MC319;-157;-50
430;Компьтеры;TERRA MODA;806;563
431;Итернет;GOOGLE *ControlDev;-637;-257
432;ЛОлоло;LUKOIL 427;-940;476
433;Другая категория;DOVERIE 13;-692;279
434;Магазины;AZS 208 LARINA;877;127
435;Другая категория;MUZ TORG;192;708
436;Ололоо;Minimarket 2;-188;171
437;Какая-то категория;PODSOLNUKH MAGAZIN 617;155;-100
438;Магазины;MEBELNYIY TSENTR      ;-557;618
439;Аптеки;STOMA  DENTAL CLINIC;683;-134
440;Аптеки;BANKOMAT 590401 8609;-284;649
441;Другая категория;LUKOIL AZS 6;-539;-281
442;Какая-то категория;HOME COOK             ;931;827
443;ЛОлоло;IZHKOMBANK/VOROSHILOVA, 4;-915;67
444;Магазины;MANGUSTA;156;-778
445;Еще одна категория;STROYSYA_SEVERSK;263;448
446;Ололоо;MANGO 1;336;684
447;Еще одна категория;AUCHAN GAGARINSKY;-5;211
448;Машины;KUZKEY AZS-2;-429;809
449;Компьтеры;MAGNIT U DOMA TIMERTAU;-67;-460
450;Ололоо;NIKE ATLANTIC CITY FS 140;-27;63
451;Другая категория;44042964/ATM042964;757;616
452;ЛОлоло;DILAN ALKOMARKET-1;-343;591
453;Аптеки;OSTIN-61;905;-55
454;Магазины;"Oliviya N5";972;620
455;Какая-то категория;DECATHLON ALTUFIEVO;-377;-321
456;Компьтеры;RIVE GAUCHE;-638;-152
457;Компьтеры;STROYMASTER;-370;-313
458;Другая категория;TK LENTA-88;811;-740
459;Итернет;MIR BARBIE;-931;-112
460;Итернет;MTS E723;46;-340
461;Машины;APTEKA SOLNYSHKO;-761;-530
462;Аптеки;MARSHALLS #  1094;203;916
463;Еще одна категория;AVTOZAPCHASTI 3;-166;93
464;Аптеки;ALEWALDS SPORT AB;-859;550
465;Другая категория;MASCOTTE 8;-847;857
466;Ололоо;MAGAZIN 43;854;-957
467;Какая-то категория;MAGAZIN  VESNA;90;-87
468;Компьтеры;KUZINA;939;921
469;ЛОлоло;BOLSHAY KRUZHKA;-256;1000
470;Ололоо;L ETUAL POS;-630;-593
471;Магазины;M.VIDEO 494;591;447
472;Магазины;Pancho Pitstsa Mega;-488;-42
473;Компьтеры;AZS IVANOVO 89;171;-859
474;ЛОлоло;PITSTSERIYA IL KAFFE;-520;184
475;Итернет;TRAVEL RETAIL      881;-801;658
476;Ололоо;TRANSAERO 670506802333;-406;868
477;Другая категория;KUSCHAVEL;931;-278
478;Итернет;MBT V AEROPORTU G. RND;836;417
479;Магазины;ELEKTROTOVARY;-984;77
480;Какая-то категория;KIROVSKIY;874;808
481;Еще одна категория;"Oliviya N4";189;-376
482;Магазины;NESTE AZS 305;-230;832
483;Ололоо;DOM KRASOTY VERSAL;638;619
484;Магазины;ATLANT-C;-464;886
485;Магазины;GKB1 IM. N.I. PIROGOVA;-288;230
486;Аптеки;IC102008, P POMOSCH;466;444
487;Ололоо;MAGNIT U DOMA KARDINALNYI;-508;163
488;Машины;ODNOKLASSNIKI.RU;927;774
489;Машины;44059751/ATM059751;569;-786
490;ЛОлоло;VB24/6, Privokzalnaya sq.;-363;122
491;ЛОлоло;MONRO 237  SHOP;726;-597
492;Ололоо;KOROTCHAEVSKIY;-637;61
493;Ололоо;KF TEPLIY STAN CINEMA;970;957
494;Другая категория;RADEZH-41 KASSA2;-598;-954
495;Еще одна категория;ALGOPIZZA;-949;-596
496;Машины;RELUX;-607;535
497;Ололоо;GULDEN;655;-184
498;Еще одна категория;THE SEVENTH CONTINENT;-781;567
499;Другая категория;"Hektom" Stacja Paliw;911;626
500;Аптеки;Sportpension Thayer;432;277
501;Машины;PRODUKTI;818;26
502;Какая-то категория;STARBUCKS TROYKA;-641;-568
503;Компьтеры;OOO  ALBA KORPOREYSHN;-151;-88
504;Машины;AZS OAO TAIF-NK;-891;-122
505;Еще одна категория;BRITISH PETROLEUM  BELYA;-638;897
506;Итернет;CHOKKOLATTA CAFE   QPS;-753;978
507;Машины;MEDIA-MARKT-ROS;218;-912
508;Компьтеры;LERUA MERLEN - VOLGOGRAD;-755;654
509;Еще одна категория;LEROY MERLIN -;-463;-283
510;Компьтеры;GM MAGNIT UFA 1;924;205
511;Аптеки;YAKITORIYA - KRASNYE V;-198;-748
512;ЛОлоло;TERRASA;711;334
513;Магазины;SALAMANDRA;381;-343
514;Ололоо;POS042444;-575;-359
515;Магазины;HP_GRUP03;-714;786
516;Машины;AZS 5 ZIMNYAYA;545;212
517;Машины;PAYU RU INSURANCE;93;902
518;Другая категория;STARBUCKS  MEGA MALL TEP;944;725
519;Ололоо;MAGNIT MM NARSPI;-607;144
520;Магазины;TSENTROBUV 5;-515;-897
521;Аптеки;VSE DLYA SHITYA;-936;292
522;ЛОлоло;LUKOIL AZS 86624 URNP;-139;53
523;Еще одна категория;NAPOLI;259;-115
524;Компьтеры;KANATNYE DOROGI NO3;-934;-490
525;Какая-то категория;MOLOKO FANTASTIKA;-237;842
526;Компьтеры;M.VIDEO 70;190;-276
527;Аптеки;EVROSET N055;43;804
528;Магазины;ECCO-ASHAN;-643;919
529;Еще одна категория;AZS LUKOIL 98;-463;-399
530;Магазины;DB BAHN REISEZENTRUM  ;56;876
531;Компьтеры;01199023/ATM-01199023 URA;735;378
532;Аптеки;SVADEBNAYA MECHTA;461;153
533;Машины;DRI Wondershare Vide;660;158
534;Еще одна категория;DOWNTOWN KEG;-952;-659
535;Другая категория;ABB 23 RODIONOVA;-503;133
536;Итернет;OOO KINO-LYUKS;-223;249
537;Другая категория;GAP AFIMALL;-772;495
538;Машины;MAZK 025 BP SHAFIROVSKY;936;-850
539;Компьтеры;ADIDAS FO  SHOP;155;-869
540;ЛОлоло;KURORT API SPA;570;958
541;Компьтеры;ROSTELEKOM;-521;-964
542;Аптеки;ACCESSORIZE;-839;-755
